journal,year,title,link
MKSC,2025,How Does Prepopulating Search Bars with Keywords Affect Online Consumer Behavior? A Field Experiment,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0793
MKSC,2025,Consumer Response to Monetary Subsidies: A Structural Demand Analysis of the Supplemental Nutrition Assistance Program,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2021.0374
MKSC,2025,"Alone, Together: A Model of Social (Mis)Learning from Consumer Reviews",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0053
MKSC,2025,"Personalization, Consumer Search, and Algorithmic Pricing",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0455
MKSC,2025,Nonparametric Pricing Bandits Leveraging Informational Externalities to Learn the Demand Curve,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0247
MKSC,2025,"Choice Architecture, Privacy Valuations, and Selection Bias in Consumer Data",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0373
MKSC,2025,Time Dependence and Time Preference: Implications for Compensation Structure,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0037
MKSC,2025,Behavior-Based Pricing Under Informed Privacy Consent: Unraveling Autonomy Paradox,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0867
MKSC,2025,Advertising Platforms and Privacy,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0879
MKSC,2025,Unequal Impact of Zestimate on the Housing Market,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0451
MKSC,2025,Bricks Processing Returns for Clicks: Can Foes Become Friends?,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0077
MKSC,2025,"Database Report: Twin-2K-500: A Data Set for Building Digital Twins of over 2,000 People Based on Their Answers to over 500 Questions",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.0262
MKSC,2025,Focus on Authors,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.focusonaus.v44.6
MKSC,2025,Editorial Board,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.eb.v44n6
MKSC,2025,Frontiers: The Intended and Unintended Consequences of Privacy Regulation for Consumer Marketing,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0901
MKSC,2025,Mass Shootings and Their Impact on Retail,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0752
MKSC,2025,LOLA: LLM-Assisted Online Learning Algorithm for Content Experiments,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0990
MKSC,2025,"Expert’s Recommendations in Product Choices: Information Provision, Conflicts of Interest, and Consumer Protection among U.S. Kidney Disease Patients",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0191
MKSC,2025,Sustainable Consumption: A Strategic Analysis,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0287
MKSC,2025,The Value of Professional Ties in B2B Markets,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0320
MKSC,2025,Optimizing Scalable Targeted Marketing Policies with Constraints,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0640
MKSC,2025,Banning Unsolicited Store Flyers: Does Helping the Environment Hurt Retailing?,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0020
MKSC,2025,Is the Money Spent on Short-Form Video Social Platforms Worth It? The Role of Advertising Spillover in a Large-Scale Randomized Field Experiment on ByteDance,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0575
MKSC,2025,Reputation for Privacy,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.1006
MKSC,2025,CCP Estimation of Dynamic Discrete Choice Demand Models with Segment Level Data and Continuous Unobserved Heterogeneity: Rethinking EV Subsidies vs. Infrastructure,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0860
MKSC,2025,"Search Fatigue, Choice Deferral, and Closure",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0275
MKSC,2025,Focus on Authors,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.focusonaus.v44.5
MKSC,2025,Editorial Board,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.eb.v44n5
MKSC,2025,Frontiers: Generative AI and Personalized Video Advertisements,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0494
MKSC,2025,Frontiers: Does Carrying News Increase Engagement with Non-News Content on Social Media Platforms?,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0993
MKSC,2025,Buying from a Competitor: A Model of Knowledge Spillover and Innovation,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0148
MKSC,2025,Estimating Sparse Spatial Demand to Manage Crowdsourced Supply in the Sharing Economy,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0458
MKSC,2025,Consumer Search and Product Line Length: The Role of the Consumer-Product Fit Distribution,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0462
MKSC,2025,"Close a Store to Open a Pandora’s Box? The Effects of Store Closure on Sales, Omnichannel Shopping, and Mobile App Usage",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0450
MKSC,2025,Learning Product Characteristics and Consumer Preferences from Search Data,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0118
MKSC,2025,Corruption and Stooges in Procurement,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0078
MKSC,2025,The Impact of Voluntary Labeling,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0273
MKSC,2025,Opposing Influences of YouTube Influencers: Purchase and Usage Effects in the Video Game Industry,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2021.0242
MKSC,2025,The Promotional Effects of Live Streams by Twitch Influencers,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0400
MKSC,2025,Book Bans in American Libraries: Impact of Politics on Inclusive Content Consumption,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0716
MKSC,2025,Smart Green Nudging: Reducing Product Returns Through Digital Footprints and Causal Machine Learning,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2022.0393
MKSC,2025,Focus on Authors,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.focusonaus.v44.4
MKSC,2025,Editorial Board,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.eb.v44n4
MKSC,2025,The Legacy of John Little for Marketing Science,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2025.0008
MKSC,2025,Frontiers: The Impact of Loosening Concealed Carry Laws on Firearm Demand,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0480
MKSC,2025,Frontiers: How Much Influencer Marketing Is Undisclosed? Evidence from Twitter,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.0838
MKSC,2025,Frontiers: Recommending What to Search: Sales Volume and Consumption Diversity Effects of a Query Recommender System,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2024.1121
MKSC,2025,Amplifying Consumers’ Voice: The Federal Trade Commission’s Report Fraud Website Redesign,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0643
MKSC,2025,Game Over? Assessing the Impact of Gamification Discontinuation on Mobile Banking Behaviors,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0345
MKSC,2025,The Language That Drives Engagement: A Systematic Large-scale Analysis of Headline Experiments,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2021.0018
MKSC,2025,Choice Frictions in Large Assortments,https://pubsonline.informs.org/doi/abs/10.1287/mksc.2023.0415
